Title,Reference number,Published,Last updated
Integrated health and social care for people experiencing homelessness,NG214,16-Mar-22,16-Mar-22
Fetal alcohol spectrum disorder,QS204,16-Mar-22,16-Mar-22
SecurePort IV tissue adhesive for use with percutaneous catheters,MIB288,15-Mar-22,15-Mar-22
Otitis media (acute): antimicrobial prescribing,NG91,28-Mar-18,11-Mar-22
Lenalidomide for relapsed or refractory mantle cell lymphoma (terminated appraisal),TA774,09-Mar-22,09-Mar-22
Empagliflozin for treating chronic heart failure with reduced ejection fraction,TA773,09-Mar-22,09-Mar-22
Pitolisant hydrochloride for treating excessive daytime sleepiness caused by obstructive sleep apnoea,TA776,09-Mar-22,09-Mar-22
Solriamfetol for treating excessive daytime sleepiness caused by obstructive sleep apnoea,TA777,09-Mar-22,09-Mar-22
Pegcetacoplan for treating paroxysmal nocturnal haemoglobinuria,TA778,09-Mar-22,09-Mar-22
Percutaneous insertion of a cystic duct stent after cholecystostomy for acute calculous cholecystitis,IPG720,09-Mar-22,09-Mar-22
Dapagliflozin for treating chronic kidney disease,TA775,09-Mar-22,09-Mar-22
Prontosan for treating acute and chronic wounds,MTG67,08-Mar-22,08-Mar-22
3C Patch for treating diabetic foot ulcers,MTG66,07-Mar-22,07-Mar-22
Endoscopic full thickness removal of gastrointestinal stromal tumours of the stomach,IPG717,02-Mar-22,02-Mar-22
Intramedullary distraction for lower limb lengthening,IPG718,02-Mar-22,02-Mar-22
Endoscopic balloon dilation for subglottic or tracheal stenosis,IPG719,02-Mar-22,02-Mar-22
Mental wellbeing at work,NG212,02-Mar-22,02-Mar-22
Lumella point-of-care test for assessing pre-eclampsia risk,MIB287,01-Mar-22,01-Mar-22
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma after stem cell transplant or at least 2 previous therapies,TA772,23-Feb-22,23-Feb-22
PredictSURE IBD and IBDX to guide treatment of Crohn's disease,DG45,23-Feb-22,23-Feb-22
EarlyCDT Lung for assessing risk of lung cancer in solid lung nodules,DG46,23-Feb-22,23-Feb-22
Odevixibat for treating progressive familial intrahepatic cholestasis,HST17,22-Feb-22,22-Feb-22
The Insides System for managing intestinal failure,MIB286,17-Feb-22,17-Feb-22
Pembrolizumab with carboplatin and paclitaxel for untreated metastatic squamous non-small-cell lung cancer,TA770,09-Feb-22,09-Feb-22
"Daratumumab with bortezomib, melphalan and prednisone for untreated multiple myeloma (terminated appraisal)",TA771,09-Feb-22,09-Feb-22
d-Nav insulin management app for type 2 diabetes,MIB285,08-Feb-22,08-Feb-22
Daratumumab in combination for untreated multiple myeloma when a stem cell transplant is suitable,TA763,02-Feb-22,02-Feb-22
Fremanezumab for preventing migraine,TA764,02-Feb-22,02-Feb-22
Venetoclax with azacitidine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,TA765,02-Feb-22,02-Feb-22
Pembrolizumab for adjuvant treatment of completely resected stage 3 melanoma,TA766,02-Feb-22,02-Feb-22
Ponesimod for treating relapsing–remitting multiple sclerosis,TA767,02-Feb-22,02-Feb-22
Upadacitinib for treating active psoriatic arthritis after inadequate response to DMARDs,TA768,02-Feb-22,02-Feb-22
Palforzia for treating peanut allergy in children and young people,TA769,02-Feb-22,02-Feb-22
Stereotactic radiosurgery for trigeminal neuralgia,IPG715,02-Feb-22,02-Feb-22
Microwave ablation for primary or metastatic cancer in the lung,IPG716,02-Feb-22,02-Feb-22
Colorectal cancer,QS20,13-Aug-12,01-Feb-22
Sedaconda ACD-S for sedation with volatile anaesthetics in intensive care,MTG65,27-Jan-22,27-Jan-22
Glaucoma: diagnosis and management,NG81,01-Nov-17,26-Jan-22
Sodium zirconium cyclosilicate for treating hyperkalaemia,TA599,04-Sep-19,24-Jan-22
Rehabilitation after traumatic injury,NG211,18-Jan-22,18-Jan-22
Smart Peak Flow for monitoring asthma,MIB282,11-Jan-22,11-Jan-22
Cabotegravir with rilpivirine for treating HIV-1,TA757,05-Jan-22,05-Jan-22
Solriamfetol for treating excessive daytime sleepiness caused by narcolepsy,TA758,05-Jan-22,05-Jan-22
Prostate cancer,QS91,11-Jun-15,30-Dec-21
Headaches in over 12s: diagnosis and management,CG150,19-Sep-12,17-Dec-21
Endo-SPONGE for treating low rectal anastomotic leak,MTG63,16-Dec-21,16-Dec-21
Belimumab for treating active autoantibody-positive systemic lupus erythematosus,TA752,15-Dec-21,15-Dec-21
Cenobamate for treating focal onset seizures in epilepsy,TA753,15-Dec-21,15-Dec-21
Mogamulizumab for previously treated mycosis fungoides and Sézary syndrome,TA754,15-Dec-21,15-Dec-21
Transanal total mesorectal excision for rectal cancer,IPG713,15-Dec-21,15-Dec-21
Endobronchial nerve ablation for chronic obstructive pulmonary disease,IPG714,15-Dec-21,15-Dec-21
Colorectal cancer,NG151,29-Jan-20,15-Dec-21
Prostate cancer: diagnosis and management,NG131,09-May-19,15-Dec-21
ClearGuard HD antimicrobial barrier caps for preventing haemodialysis catheter-related bloodstream infections,MTG62,13-Dec-21,13-Dec-21
Urinary incontinence in women,QS77,22-Jan-15,09-Dec-21
Pelvic floor dysfunction: prevention and non-surgical management,NG210,09-Dec-21,09-Dec-21
Olaparib for maintenance treatment of BRCA mutation-positive metastatic pancreatic cancer after platinum-based chemotherapy (terminated appraisal),TA750,08-Dec-21,08-Dec-21
Dupilumab for treating severe asthma with type 2 inflammation,TA751,08-Dec-21,08-Dec-21
FreeO2 automatic oxygen titration for chronic obstructive pulmonary disease and respiratory distress syndrome,MIB281,07-Dec-21,07-Dec-21
Brain tumours (primary) and brain metastases in over 16s,QS203,07-Dec-21,07-Dec-21
Mexiletine for treating the symptoms of myotonia in non-dystrophic myotonic disorders,TA748,01-Dec-21,01-Dec-21
Liraglutide for managing obesity in people aged 12 to 17 years (terminated appraisal),TA749,01-Dec-21,01-Dec-21
Synergo for non-muscle-invasive bladder cancer,MTG61,30-Nov-21,30-Nov-21
CerebAir for continuous EEG monitoring in intensive care,MIB279,30-Nov-21,30-Nov-21
Paige Prostate for prostate cancer,MIB280,30-Nov-21,30-Nov-21
"clonoSEQ for minimal residual disease assessment in multiple myeloma, acute lymphoblastic leukaemia and chronic lymphocytic leukaemia",MIB278,30-Nov-21,30-Nov-21
Fever in under 5s: assessment and initial management,NG143,07-Nov-19,26-Nov-21
Givosiran for treating acute hepatic porphyria,HST16,24-Nov-21,24-Nov-21
Percutaneous implantation of pulmonary artery pressure sensors for monitoring treatment of chronic heart failure,IPG711,24-Nov-21,24-Nov-21
Coronary sinus narrowing device implantation for refractory angina,IPG712,24-Nov-21,24-Nov-21
Chronic kidney disease: assessment and management,NG203,25-Aug-21,24-Nov-21
Nivolumab for adjuvant treatment of resected oesophageal or gastro-oesophageal junction cancer,TA746,17-Nov-21,17-Nov-21
Nintedanib for treating progressive fibrosing interstitial lung diseases,TA747,17-Nov-21,17-Nov-21
SeHCAT (tauroselcholic [75 selenium] acid) for diagnosing bile acid diarrhoea,DG44,17-Nov-21,17-Nov-21
Acute heart failure: diagnosis and management,CG187,08-Oct-14,17-Nov-21
Heart valve disease presenting in adults: investigation and management,NG208,17-Nov-21,17-Nov-21
Upadacitinib for treating moderate rheumatoid arthritis,TA744,10-Nov-21,10-Nov-21
NBTXR-3 for treating advanced soft tissue sarcoma (terminated appraisal),TA745,10-Nov-21,10-Nov-21
Inducing labour,NG207,04-Nov-21,04-Nov-21
Inducing labour,QS60,17-Apr-14,04-Nov-21
24/7 EEG SubQ for epilepsy,MIB277,02-Nov-21,02-Nov-21
Myalgic encephalomyelitis (or encephalopathy)/chronic fatigue syndrome: diagnosis and management,NG206,29-Oct-21,29-Oct-21
Apalutamide with androgen deprivation therapy for treating high-risk hormone-relapsed non-metastatic prostate cancer,TA740,28-Oct-21,28-Oct-21
Apalutamide with androgen deprivation therapy for treating hormone-sensitive metastatic prostate cancer,TA741,28-Oct-21,28-Oct-21
Atezolizumab for untreated PD-L1-positive advanced urothelial cancer when cisplatin is unsuitable,TA739,27-Oct-21,27-Oct-21
Genicular artery embolisation for pain from knee osteoarthritis,IPG708,27-Oct-21,27-Oct-21
Laparoscopic renal denervation for loin pain haematuria syndrome,IPG709,27-Oct-21,27-Oct-21
Percutaneous endovascular forearm arteriovenous fistula creation for haemodialysis access,IPG710,27-Oct-21,27-Oct-21
Tofacitinib for treating juvenile idiopathic arthritis,TA735,20-Oct-21,20-Oct-21
Nivolumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy,TA736,20-Oct-21,20-Oct-21
Berotralstat for preventing recurrent attacks of hereditary angioedema,TA738,20-Oct-21,20-Oct-21
Looked-after children and young people,NG205,20-Oct-21,20-Oct-21
Secukinumab for treating moderate to severe plaque psoriasis in children and young people,TA734,07-Oct-21,07-Oct-21
Baloxavir marboxil for treating acute uncomplicated influenza (terminated appraisal),TA732,06-Oct-21,06-Oct-21
Inclisiran for treating primary hypercholesterolaemia or mixed dyslipidaemia,TA733,06-Oct-21,06-Oct-21
DyeVert Systems for reducing the risk of acute kidney injury in coronary and peripheral angiography,MTG60,04-Oct-21,04-Oct-21
Avapritinib for treating unresectable or metastatic gastrointestinal stromal tumours (terminated appraisal),TA730,29-Sep-21,29-Sep-21
Vericiguat for treating chronic heart failure with reduced ejection fraction (terminated appraisal),TA731,29-Sep-21,29-Sep-21
Daratumumab with pomalidomide and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),TA726,22-Sep-21,22-Sep-21
Isatuximab with carfilzomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),TA727,22-Sep-21,22-Sep-21
Midostaurin for treating advanced systemic mastocytosis,TA728,22-Sep-21,22-Sep-21
Sapropterin for treating hyperphenylalaninaemia in phenylketonuria,TA729,22-Sep-21,22-Sep-21
Lateral elbow resurfacing for arthritis,IPG705,22-Sep-21,22-Sep-21
Transapical transcatheter mitral valve-in-valve implantation for a failed surgically implanted mitral valve bioprosthesis,IPG706,22-Sep-21,22-Sep-21
Transapical transcatheter mitral valve-in-ring implantation after failed annuloplasty for mitral valve repair,IPG707,22-Sep-21,22-Sep-21
"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",TA725,15-Sep-21,15-Sep-21
OrganOx metra for liver transplant,MIB275,14-Sep-21,14-Sep-21
Carnation Ambulatory Monitor for ambulatory detection of cardiac arrythmias,MIB276,14-Sep-21,14-Sep-21
Nivolumab with ipilimumab and chemotherapy for untreated metastatic non-small-cell lung cancer,TA724,08-Sep-21,08-Sep-21
Workplace health: long-term sickness absence and capability to work,QS202,03-Sep-21,03-Sep-21
End of life care for adults,QS13,28-Nov-11,02-Sep-21
Bimekizumab for treating moderate to severe plaque psoriasis,TA723,01-Sep-21,01-Sep-21
Colli-Pee for first void urine collection,MIB273,31-Aug-21,31-Aug-21
PLASMA system with button electrode for electrovaporisation of the prostate,MIB274,31-Aug-21,31-Aug-21
Pemigatinib for treating relapsed or refractory advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,TA722,25-Aug-21,25-Aug-21
Magnetic resonance therapy for knee osteoarthritis,IPG702,25-Aug-21,25-Aug-21
Laparoscopic removal of uterine fibroids with power morcellation,IPG703,25-Aug-21,25-Aug-21
Hysteroscopic mechanical tissue removal (hysteroscopic morcellation) for uterine fibroids,IPG704,25-Aug-21,25-Aug-21
"Babies, children and young people's experience of healthcare",NG204,25-Aug-21,25-Aug-21
Continuous positive airway pressure for the treatment of obstructive sleep apnoea/hypopnoea syndrome,TA139,26-Mar-08,20-Aug-21
Obstructive sleep apnoea/hypopnoea syndrome and obesity hypoventilation syndrome in over 16s,NG202,20-Aug-21,20-Aug-21
Antenatal care,NG201,19-Aug-21,19-Aug-21
Venous thromboembolism in adults,QS201,19-Aug-21,19-Aug-21
Chlormethine gel for treating mycosis fungoides-type cutaneous T-cell lymphoma,TA720,18-Aug-21,18-Aug-21
Abiraterone for treating newly diagnosed high-risk hormone-sensitive metastatic prostate cancer,TA721,18-Aug-21,18-Aug-21
Melatonin for treating sleep disorders in adults who are blind,ES38,18-Aug-21,18-Aug-21
Antimicrobial prescribing: delafloxacin for community-acquired pneumonia,ES37,10-Aug-21,10-Aug-21
MMprofiler for prognostic risk classification in multiple myeloma,MIB270,10-Aug-21,10-Aug-21
Patient Status Engine for wireless monitoring of vital signs,MIB271,10-Aug-21,10-Aug-21
Lung texture analysis for measuring interstitial lung diseases,MIB272,10-Aug-21,10-Aug-21
Bronchiolitis in children: diagnosis and management,NG9,01-Jun-15,09-Aug-21
Immunoscore for predicting risk of colon cancer relapse,MIB269,03-Aug-21,03-Aug-21
Nivolumab with ipilimumab for previously treated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,TA716,28-Jul-21,28-Jul-21
Inducing and maintaining normothermia using temperature modulation devices to improve outcomes after stroke or subarachnoid haemorrhage,IPG701,28-Jul-21,28-Jul-21
Clostridioides difficile infection: antimicrobial prescribing,NG199,23-Jul-21,23-Jul-21
Duvelisib for treating relapsed follicular lymphoma after 2 or more systemic therapies (terminated appraisal),TA717,21-Jul-21,21-Jul-21
Ixekizumab for treating axial spondyloarthritis,TA718,21-Jul-21,21-Jul-21
Secukinumab for treating non-radiographic axial spondyloarthritis,TA719,21-Jul-21,21-Jul-21
ENDURALIFE powered CRT-D devices for treating heart failure,MTG33,17-Mar-17,21-Jul-21
"Adalimumab, etanercept, infliximab and abatacept for treating moderate rheumatoid arthritis after conventional DMARDs have failed",TA715,14-Jul-21,14-Jul-21
Dasatinib for treating Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),TA714,14-Jul-21,14-Jul-21
HealthVCF for detecting vertebral compression fractures on CT scans,MIB267,13-Jul-21,13-Jul-21
trublood-prostate for triaging and diagnosing people with prostate cancer symptoms,MIB268,13-Jul-21,13-Jul-21
Enzalutamide for treating hormone-sensitive metastatic prostate cancer,TA712,07-Jul-21,07-Jul-21
Nivolumab for advanced non-squamous non-small-cell lung cancer after chemotherapy,TA713,07-Jul-21,07-Jul-21
AI technologies for detecting diabetic retinopathy,MIB265,06-Jul-21,06-Jul-21
Acumen IQ sensor for predicting hypotension risk,MIB266,06-Jul-21,06-Jul-21
Apixaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,TA275,27-Feb-13,02-Jul-21
Edoxaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,TA355,23-Sep-15,02-Jul-21
Rivaroxaban for the prevention of stroke and systemic embolism in people with atrial fibrillation,TA256,23-May-12,02-Jul-21
Dabigatran etexilate for the prevention of stroke and systemic embolism in atrial fibrillation,TA249,15-Mar-12,02-Jul-21
Atrial fibrillation: diagnosis and management,NG196,27-Apr-21,30-Jun-21
Plus Sutures for preventing surgical site infection,MTG59,28-Jun-21,28-Jun-21
Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,TA708,23-Jun-21,23-Jun-21
Pembrolizumab for untreated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,TA709,23-Jun-21,23-Jun-21
Ravulizumab for treating atypical haemolytic uraemic syndrome,TA710,23-Jun-21,23-Jun-21
Laser lithotripsy for difficult-to-treat bile duct stones,IPG699,23-Jun-21,23-Jun-21
Percutaneous insertion of a closure device to repair a paravalvular leak around a replaced mitral or aortic valve,IPG700,23-Jun-21,23-Jun-21
Patient experience in adult NHS services: improving the experience of care for people using adult NHS services,CG138,24-Feb-12,17-Jun-21
Shared decision making,NG197,17-Jun-21,17-Jun-21
Nivolumab for previously treated unresectable advanced or recurrent oesophageal cancer,TA707,15-Jun-21,15-Jun-21
SYNE-COV for predicting COVID-19 outcomes,MIB264,15-Jun-21,15-Jun-21
Autism spectrum disorder in adults: diagnosis and management,CG142,27-Jun-12,14-Jun-21
Autism spectrum disorder in under 19s: support and management,CG170,28-Aug-13,14-Jun-21
Ozanimod for treating relapsing–remitting multiple sclerosis,TA706,09-Jun-21,09-Jun-21
Atezolizumab monotherapy for untreated advanced non-small-cell lung cancer,TA705,02-Jun-21,02-Jun-21
WoundExpress to manage lower leg wounds,MIB261,01-Jun-21,01-Jun-21
Ibrutinib with obinutuzumab for untreated chronic lymphocytic leukaemia and small lymphocytic lymphoma (terminated appraisal),TA702,26-May-21,26-May-21
Ibrutinib with rituximab for untreated chronic lymphocytic leukaemia (terminated appraisal),TA703,26-May-21,26-May-21
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 2 or more anti-HER2 therapies,TA704,26-May-21,26-May-21
Electrohydraulic lithotripsy for difficult-to-treat bile duct stones,IPG698,26-May-21,26-May-21
Ex-situ machine perfusion for extracorporeal preservation of lungs (ex-vivo lung perfusion) for transplant,IPG695,26-May-21,26-May-21
Transvaginal laser therapy for stress urinary incontinence,IPG696,26-May-21,26-May-21
Transvaginal laser therapy for urogenital atrophy,IPG697,26-May-21,26-May-21
Heavy menstrual bleeding: assessment and management,NG88,14-Mar-18,24-May-21
Ravulizumab for treating paroxysmal nocturnal haemoglobinuria,TA698,19-May-21,19-May-21
Ofatumumab for treating relapsing multiple sclerosis,TA699,19-May-21,19-May-21
Crisaborole for treating mild to moderate atopic dermatitis in people 2 years and older (terminated appraisal),TA701,19-May-21,19-May-21
HeartFlow FFRCT for estimating fractional flow reserve from coronary CT angiography,MTG32,13-Feb-17,19-May-21
Parafricta Bootees and Undergarments to reduce skin breakdown in people with or at risk of pressure ulcers,MTG20,12-Nov-14,19-May-21
KODEX-EPD for cardiac imaging during ablation of arrhythmias,MIB260,11-May-21,11-May-21
Permanent His-bundle pacemaker implantation for treating heart failure,IPG694,05-May-21,05-May-21
UroLift for treating lower urinary tract symptoms of benign prostatic hyperplasia,MTG58,04-May-21,04-May-21
Axonics sacral neuromodulation system for faecal incontinence,MIB259,04-May-21,04-May-21
Pembrolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,TA692,28-Apr-21,28-Apr-21
Bempedoic acid with ezetimibe for treating primary hypercholesterolaemia or mixed dyslipidaemia,TA694,28-Apr-21,28-Apr-21
Carfilzomib with dexamethasone and lenalidomide for previously treated multiple myeloma,TA695,28-Apr-21,28-Apr-21
Repetitive short-pulse transscleral cyclophotocoagulation for glaucoma,IPG692,28-Apr-21,28-Apr-21
"Deep brain stimulation for chronic, severe, treatment-resistant obsessive-compulsive disorder in adults",IPG693,28-Apr-21,28-Apr-21
Avelumab for treating metastatic Merkel cell carcinoma,TA517,11-Apr-18,21-Apr-21
Acalabrutinib for treating chronic lymphocytic leukaemia,TA689,21-Apr-21,21-Apr-21
Avelumab for untreated metastatic Merkel cell carcinoma,TA691,21-Apr-21,21-Apr-21
Melphalan chemosaturation with percutaneous hepatic artery perfusion and hepatic vein isolation for primary or metastatic cancer in the liver,IPG691,21-Apr-21,21-Apr-21
microINR for anticoagulation therapy,MIB257,21-Apr-21,21-Apr-21
Postnatal care,NG194,20-Apr-21,20-Apr-21
Chronic pain (primary and secondary) in over 16s: assessment of all chronic pain and management of chronic primary pain,NG193,07-Apr-21,07-Apr-21
RenalSense Clarity RMS for acute kidney injury,MIB256,06-Apr-21,06-Apr-21
Anakinra for treating Still's disease,TA685,31-Mar-21,31-Mar-21
Blinatumomab for previously treated Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),TA686,31-Mar-21,31-Mar-21
"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",TA687,31-Mar-21,31-Mar-21
Transcervical ultrasound-guided radiofrequency ablation for symptomatic uterine fibroids,IPG689,31-Mar-21,31-Mar-21
Extracorporeal whole liver perfusion for acute liver failure,IPG690,31-Mar-21,31-Mar-21
Danis stent for acute oesophageal variceal bleeding,MTG57,31-Mar-21,31-Mar-21
Caesarean birth,QS32,11-Jun-13,31-Mar-21
Sonata system for diagnostic imaging and treatment of symptomatic uterine fibroids,MIB255,30-Mar-21,30-Mar-21
Cannabis-based medicinal products,NG144,11-Nov-19,22-Mar-21
Supporting adult carers,QS200,19-Mar-21,19-Mar-21
Nivolumab for adjuvant treatment of completely resected melanoma with lymph node involvement or metastatic disease,TA684,17-Mar-21,17-Mar-21
QAngio XA 3D QFR and CAAS vFFR imaging software for assessing coronary stenosis during invasive coronary angiography,DG43,17-Mar-21,17-Mar-21
Erenumab for preventing migraine,TA682,10-Mar-21,10-Mar-21
"Pembrolizumab with pemetrexed and platinum chemotherapy for untreated, metastatic, non-squamous non-small-cell lung cancer",TA683,10-Mar-21,10-Mar-21
Alpha-Stim AID for anxiety disorders,MTG56,08-Mar-21,08-Mar-21
Butterfly iQ+ for diagnostic ultrasound imaging,MIB254,04-Mar-21,04-Mar-21
Lenalidomide maintenance treatment after an autologous stem cell transplant for newly diagnosed multiple myeloma,TA680,03-Mar-21,03-Mar-21
Baricitinib for treating moderate to severe atopic dermatitis,TA681,03-Mar-21,03-Mar-21
Free-functioning gracilis transfer to restore upper limb function in brachial plexus injury,IPG687,03-Mar-21,03-Mar-21
Cytoreduction surgery with hyperthermic intraoperative peritoneal chemotherapy for peritoneal carcinomatosis,IPG688,03-Mar-21,03-Mar-21
Secondary bacterial infection of eczema and other common skin conditions: antimicrobial prescribing,NG190,02-Mar-21,02-Mar-21
Safeguarding adults in care homes,NG189,26-Feb-21,26-Feb-21
Filgotinib for treating moderate to severe rheumatoid arthritis,TA676,24-Feb-21,24-Feb-21
Brexucabtagene autoleucel for treating relapsed or refractory mantle cell lymphoma,TA677,24-Feb-21,24-Feb-21
Omalizumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),TA678,24-Feb-21,24-Feb-21
Dapagliflozin for treating chronic heart failure with reduced ejection fraction,TA679,24-Feb-21,24-Feb-21
Remsima (infliximab biosimilar) for subcutaneous injection for managing Crohn's disease and ulcerative colitis,ES35,24-Feb-21,24-Feb-21
Metreleptin for treating lipodystrophy,HST14,24-Feb-21,24-Feb-21
"Niraparib for maintenance treatment of advanced ovarian, fallopian tube and peritoneal cancer after response to first-line platinum-based chemotherapy",TA673,17-Feb-21,17-Feb-21
"Pembrolizumab for untreated PD-L1-positive, locally advanced or metastatic urothelial cancer when cisplatin is unsuitable (terminated appraisal)",TA674,17-Feb-21,17-Feb-21
Vernakalant for the rapid conversion of recent onset atrial fibrillation to sinus rhythm (terminated appraisal),TA675,17-Feb-21,17-Feb-21
moorLDLS-BI for burn depth assessment,MIB251,09-Feb-21,09-Feb-21
The STAK tool for preventing and treating knee stiffness,MIB252,09-Feb-21,09-Feb-21
PROPEL sinus implants for maintaining sinus patency after surgery,MIB253,09-Feb-21,09-Feb-21
Trabectedin for the treatment of advanced soft tissue sarcoma,TA185,24-Feb-10,08-Feb-21
URO17 for detecting bladder cancer,MIB250,04-Feb-21,04-Feb-21
Mepolizumab for treating severe eosinophilic asthma,TA671,03-Feb-21,03-Feb-21
Brolucizumab for treating wet age-related macular degeneration,TA672,03-Feb-21,03-Feb-21
Leukomed Sorbact for preventing surgical site infection,MTG55,03-Feb-21,03-Feb-21
DOAC Dipstick for detecting direct oral anticoagulants,MIB248,02-Feb-21,02-Feb-21
CytoSorb for reducing risk of bleeding during cardiac surgery,MIB249,02-Feb-21,02-Feb-21
Brain tumours (primary) and brain metastases in over 16s,NG99,11-Jul-18,29-Jan-21
Brigatinib for ALK-positive advanced non-small-cell lung cancer that has not been previously treated with an ALK inhibitor,TA670,27-Jan-21,27-Jan-21
Self-expanding implant insertion into the intersphincteric space for faecal incontinence,IPG685,27-Jan-21,27-Jan-21
Minimally invasive radical hysterectomy for early stage cervical cancer,IPG686,27-Jan-21,27-Jan-21
The VAC Veraflo Therapy system for acute infected or chronic wounds that are failing to heal,MTG54,27-Jan-21,27-Jan-21
Accuro for guiding epidural or spinal anaesthesia,MIB245,26-Jan-21,26-Jan-21
AcQMap for mapping the heart atria to target ablation treatment for arrhythmias,MIB246,26-Jan-21,26-Jan-21
Abortion care,QS199,26-Jan-21,26-Jan-21
Natural Cycles for monitoring fertility,MIB244,19-Jan-21,19-Jan-21
Suspected neurological conditions: recognition and referral,QS198,08-Jan-21,08-Jan-21
Encorafenib plus cetuximab for previously treated BRAF V600E mutation-positive metastatic colorectal cancer,TA668,06-Jan-21,06-Jan-21
The PLASMA system for transurethral resection and haemostasis of the prostate,MTG53,06-Jan-21,06-Jan-21
Antimicrobial prescribing: delafloxacin for acute bacterial skin and skin structure infections,ES32,05-Jan-21,05-Jan-21
Optilume for anterior urethral strictures,MIB241,05-Jan-21,05-Jan-21
Artificial intelligence in mammography,MIB242,05-Jan-21,05-Jan-21
Artificial intelligence for analysing chest CT images,MIB243,05-Jan-21,05-Jan-21
Atezolizumab with bevacizumab for treating advanced or unresectable hepatocellular carcinoma,TA666,16-Dec-20,16-Dec-20
Caplacizumab with plasma exchange and immunosuppression for treating acute acquired thrombotic thrombocytopenic purpura,TA667,16-Dec-20,16-Dec-20
Pancreatitis,NG104,05-Sep-18,16-Dec-20
Diabetes in pregnancy: management from preconception to the postnatal period,NG3,25-Feb-15,16-Dec-20
Eating disorders: recognition and treatment,NG69,23-May-17,16-Dec-20
ReStore Soft Exo-Suit for gait rehabilitation,MIB239,15-Dec-20,15-Dec-20
Cytosponge for detecting abnormal cells in the oesophagus,MIB240,15-Dec-20,15-Dec-20
Peripheral arterial disease: diagnosis and management,CG147,08-Aug-12,11-Dec-20
Low back pain and sciatica in over 16s: assessment and management,NG59,30-Nov-16,11-Dec-20
Venetoclax with obinutuzumab for untreated chronic lymphocytic leukaemia,TA663,09-Dec-20,09-Dec-20
Liraglutide for managing overweight and obesity,TA664,09-Dec-20,09-Dec-20
Upadacitinib for treating severe rheumatoid arthritis,TA665,09-Dec-20,09-Dec-20
Evoke Spinal Cord Stimulator for managing chronic neuropathic or ischaemic pain,MIB238,08-Dec-20,08-Dec-20
Zio XT for detecting cardiac arrhythmias,MTG52,01-Dec-20,01-Dec-20
Darolutamide with androgen deprivation therapy for treating hormone-relapsed non-metastatic prostate cancer,TA660,25-Nov-20,25-Nov-20
Pembrolizumab for untreated metastatic or unresectable recurrent head and neck squamous cell carcinoma,TA661,25-Nov-20,25-Nov-20
Durvalumab in combination for untreated extensive-stage small-cell lung cancer (terminated appraisal),TA662,25-Nov-20,25-Nov-20
QuickChange Incontinence Wrap for urinary incontinence in men,MIB237,24-Nov-20,24-Nov-20
Drug-eluting stents for the treatment of coronary artery disease,TA152,23-Jul-08,18-Nov-20
Guidance on the use of coronary artery stents,TA71,22-Oct-03,18-Nov-20
Siponimod for treating secondary progressive multiple sclerosis,TA656,18-Nov-20,18-Nov-20
Carfilzomib for previously treated multiple myeloma,TA657,18-Nov-20,18-Nov-20
Galcanezumab for preventing migraine,TA659,18-Nov-20,18-Nov-20
Swallowable gastric balloon capsule for weight loss,IPG684,18-Nov-20,18-Nov-20
Acute coronary syndromes,NG185,18-Nov-20,18-Nov-20
Acute coronary syndromes in adults,QS68,05-Sep-14,18-Nov-20
Isatuximab with pomalidomide and dexamethasone for treating relapsed and refractory multiple myeloma,TA658,18-Nov-20,18-Nov-20
Magseed for locating impalpable breast cancer lesions,MIB236,17-Nov-20,17-Nov-20
NPi-200 for pupillary light reflex in critical care patients,MIB235,12-Nov-20,12-Nov-20
Human and animal bites: antimicrobial prescribing,NG184,04-Nov-20,04-Nov-20
Dexcom G6 for real-time continuous glucose monitoring,MIB233,03-Nov-20,03-Nov-20
Testing strategies for Lynch syndrome in people with endometrial cancer,DG42,28-Oct-20,28-Oct-20
Antimicrobial prescribing: imipenem with cilastatin and relebactam,ES30,28-Oct-20,28-Oct-20
Pressurised intraperitoneal aerosol chemotherapy for peritoneal carcinomatosis,IPG681,28-Oct-20,28-Oct-20
Balloon cryoablation for Barrett's oesophagus,IPG682,28-Oct-20,28-Oct-20
